encoded_value,district_name
485,North 24 Parganas
486,North And Middle Andaman
487,North East
488,North Garo Hills
489,North Goa
490,North Tripura
491,North West
492,Ntr
493,Nuapada
494,Nuh
495,Pakur
496,Palakkad
497,Palamu
498,Palghar
499,Pali
499,Pratapgarh
500,Palnadu
501,Palwal
502,Panch Mahals
503,Panchkula
504,Pandhurna
505,Panipat
506,Panna
507,Papum Pare
508,Parbhani
509,Parvathipuram Manyam
510,Paschim Bardhaman
511,Paschim Medinipur
512,Pashchim Champaran
513,Patan
514,Pathanamthitta
515,Pathankot
516,Patiala
517,Patna
518,Pauri Garhwal
519,Perambalur
522,Pherzawl
523,Pilibhit
524,Pithoragarh
525,Poonch
526,Porbandar
527,Prakasam
528,Pratapgarh
529,Prayagraj
530,Puducherry
531,Pudukkottai
532,Pulwama
533,Pune
534,Purba Bardhaman
535,Purba Medinipur
536,Purbi Champaran
537,Puri
538,Purnia
539,Purulia
540,Rae Bareli
541,Raichur
542,Raigad
543,Raigarh
544,Raipur
545,Raisen
546,Rajgarh
547,Rajkot
548,Rajnandgaon
549,Rajouri
550,Rajsamand
551,Ramanagara
552,Ramanathapuram
553,Ramban
554,Ramgarh
555,Rampur
556,Ranchi
557,Ranga Reddy
558,Ranipet
559,Ratlam
560,Ratnagiri
561,Rayagada
562,Reasi
563,Rewa
564,Rewari
565,Ri Bhoi
566,Rohtak
567,Rohtas
568,Rudra Prayag
569,Rupnagar
570,S.A.S Nagar
571,Sabar Kantha
572,Sagar
573,Saharanpur
574,Saharsa
575,Sahebganj
576,Saitual
577,Salem
578,Salumbar
579,Samastipur
580,Samba
581,Sambalpur
582,Sambhal
583,Sangareddy
584,Sangli
585,Sangrur
586,Sant Kabir Nagar
587,Saraikela Kharsawan
588,Saran
589,Satara
590,Satna
591,Sawai Madhopur
592,Sehore
593,Senapati
594,Seoni
595,Sepahijala
596,Serchhip
597,Shahdara
598,Shahdol
599,Shahid Bhagat Singh Nagar
600,Shahjahanpur
601,Shajapur
603,Shamli
604,Sheikhpura
605,Sheohar
606,Sheopur
607,Shi Yomi
608,Shimla
609,Shivamogga
610,Shivpuri
611,Shopian
612,Shrawasti
613,Siaha
614,Siang
615,Siddharthnagar
616,Siddipet
617,Sidhi
618,Sikar
619,Simdega
620,Sindhudurg
621,Singrauli
622,Sirmaur
623,Sirohi
624,Sirsa
625,Sitamarhi
626,Sitapur
627,Sivaganga
628,Sivasagar
629,Siwan
630,Solan
631,Solapur
632,Sonbhadra
633,Sonipat
634,Sonitpur
635,Soreng
636,South
637,South 24 Parganas
638,South Andamans
639,South East
640,South Garo Hills
641,South Goa
642,South Salmara Mancachar
643,South Tripura
644,South West
645,South West Garo Hills
646,South West Khasi Hills
647,Sri Muktsar Sahib
648,Sri Potti Sriramulu Nellore
649,Sri Sathya Sai
650,Srikakulam
651,Srinagar
652,Sukma
653,Sultanpur
654,Sundargarh
655,Supaul
656,Surajpur
657,Surat
658,Surendranagar
659,Surguja
660,Suryapet
661,Tamenglong
662,Tamulpur
663,Tapi
664,Tarn Taran
665,Tawang
666,Tehri Garhwal
667,Tengnoupal
668,Tenkasi
669,Thane
670,Thanjavur
671,The Nilgiris
672,Theni
673,Thiruvallur
674,Thiruvananthapuram
675,Thiruvarur
676,Thoothukkudi
677,Thoubal
678,Thrissur
679,Tikamgarh
680,Tinsukia
681,Tirap
682,Tiruchirappalli
683,Tirunelveli
684,Tirupathur
685,Tirupati
686,Tiruppur
687,Tiruvannamalai
688,Tonk
690,Tumakuru
691,Udaipur
692,Udalguri
693,Udam Singh Nagar
693,Uttar Kashi
694,Udhampur
695,Udupi
696,Ujjain
697,Ukhrul
698,Umaria
699,Una
700,Unakoti
701,Unnao
702,Upper Siang
703,Upper Subansiri
704,Uttar Dinajpur
705,Uttar Kashi
706,Uttara Kannada
707,Vadodara
708,Vaishali
709,Valsad
710,Varanasi
711,Vellore
712,Vidisha
713,Vijayanagara
714,Vijayapura
715,Vikarabad
716,Viluppuram
717,Virudhunagar
718,Visakhapatnam
719,Vizianagaram
